Roll No.,Professional Elective 1,Professional Elective 2,Core Section
2205116,DMDW_CS-28,DOS_CS-18,CSE-46
22051160,DMDW_CS-4,DOS_CS-1,CSE-35
22051161,DMDW_CS-10,DOS_CS-31,CSE-39
22051162,DMDW_CS-2,DOS_CS-31,CSE-39
22051163,DMDW_CS-24,HPC_CS-21,CSE-26
22051164,DMDW_CS-4,DOS_CS-10,CSE-13
22051165,CI_CS-14,HPC_CS-3,CSE-04
22051167,CI_CS-12,DOS_CS-30,CSE-39
22051168,DMDW_CS-11,DOS_CS-13,CSE-23
22051169,CD_CS-1,HPC_CS-2,CSE-20
2205117,CI_CS-10,DOS_CS-14,CSE-42
22051170,DMDW_CS-2,HPC_CS-13,CSE-23
22051171,DMDW_CS-9,DOS_CS-5,CSE-43
22051172,DMDW_CS-2,DOS_CS-1,CSE-31
22051173,DMDW_CS-21,DOS_CS-14,CSE-39
22051174,CI_CS-2,HPC_CS-3,CSE-48
22051175,DMDW_CS-11,DOS_CS-1,CSE-09
22051176,CD_CS-2,DOS_CS-26,CSE-15
22051177,CI_CS-6,DOS_CS-1,CSE-33
22051178,DMDW_CS-32,DOS_CS-22,CSE-30
22051179,DMDW_CS-33,HPC_CS-21,CSE-51
2205118,DMDW_CS-27,DOS_CS-14,CSE-42
22051181,CD_CS-2,HPC_CS-4,CSE-43
22051182,DMDW_CS-5,DOS_CS-10,CSE-15
22051183,DMDW_CS-32,DOS_CS-1,CSE-38
22051184,CI_CS-1,DOS_CS-8,CSE-48
22051186,DMDW_CS-10,DOS_CS-6,CSE-33
22051187,CI_CS-8,DOS_CS-7,CSE-53
22051188,CI_CS-8,DOS_CS-19,CSE-53
22051189,CD_CS-2,HPC_CS-4,CSE-51
2205119,CI_CS-4,DOS_CS-13,CSE-47
22051190,DMDW_CS-4,DOS_CS-30,CSE-03
22051191,DMDW_CS-3,DOS_CS-15,CSE-54
22051192,DMDW_CS-18,DOS_CS-10,CSE-08
22051193,CD_CS-1,HPC_CS-2,CSE-44
22051194,DMDW_CS-8,DOS_CS-26,CSE-17
22051195,CD_CS-3,HPC_CS-16,CSE-34
22051196,DMDW_CS-9,DOS_CS-4,CSE-24
22051197,CD_CS-1,DOS_CS-21,CSE-29
22051198,DMDW_CS-12,HPC_CS-19,CSE-22
22051199,DMDW_CS-3,HPC_CS-19,CSE-28
2205120,DMDW_CS-5,DOS_CS-4,CSE-12
22051200,DMDW_CS-27,HPC_CS-13,CSE-47
22051201,DMDW_CS-9,HPC_CS-14,CSE-21
22051202,CI_CS-2,HPC_CS-2,CSE-05
22051203,CI_CS-14,HPC_CS-3,CSE-04
22051204,DMDW_CS-4,DOS_CS-21,CSE-30
22051205,DMDW_CS-32,DOS_CS-27,CSE-27
22051206,CI_CS-11,DOS_CS-14,CSE-08
22051208,DMDW_CS-24,DOS_CS-4,CSE-51
22051209,DMDW_CS-32,HPC_CS-10,CSE-46
2205121,DMDW_CS-23,DOS_CS-7,CSE-02
22051210,DMDW_CS-34,DOS_CS-4,CSE-49
22051211,DMDW_CS-8,DOS_CS-14,CSE-23
22051212,DMDW_CS-11,DOS_CS-8,CSE-34
22051213,CI_CS-14,HPC_CS-13,CSE-04
22051214,DMDW_CS-8,DOS_CS-26,CSE-13
22051215,CI_CS-11,HPC_CS-16,CSE-26
22051216,CD_CS-1,HPC_CS-15,CSE-44
22051217,DMDW_CS-36,DOS_CS-32,CSE-52
22051218,DMDW_CS-27,DOS_CS-15,CSE-42
22051219,DMDW_CS-2,DOS_CS-18,CSE-31
2205122,DMDW_CS-17,DOS_CS-27,CSE-07
22051220,DMDW_CS-28,DOS_CS-26,CSE-31
22051221,CI_CS-14,DOS_CS-14,CSE-21
22051222,DMDW_CS-36,HPC_CS-1,CSE-47
22051223,DMDW_CS-27,HPC_CS-16,CSE-24
22051224,CD_CS-3,HPC_CS-6,CSE-50
22051225,DMDW_CS-2,HPC_CS-15,CSE-23
22051226,DMDW_CS-1,DOS_CS-31,CSE-03
22051227,DMDW_CS-11,DOS_CS-28,CSE-49
22051228,CI_CS-14,DOS_CS-15,CSE-04
22051229,CI_CS-14,DOS_CS-2,CSE-04
22051230,CI_CS-9,DOS_CS-22,CSE-11
22051231,CI_CS-8,DOS_CS-14,CSE-04
22051232,CI_CS-4,DOS_CS-4,CSE-55
22051233,CI_CS-8,HPC_CS-9,CSE-12
22051234,CI_CS-11,DOS_CS-8,CSE-14
22051235,CI_CS-4,DOS_CS-5,CSE-29
22051236,CI_CS-2,HPC_CS-12,CSE-11
22051237,DMDW_CS-6,DOS_CS-32,CSE-52
22051238,DMDW_CS-3,DOS_CS-3,CSE-38
22051239,CI_CS-12,DOS_CS-31,CSE-04
2205124,CI_CS-3,HPC_CS-3,CSE-02
22051240,DMDW_CS-5,DOS_CS-10,CSE-51
22051241,CI_CS-7,DOS_CS-31,CSE-04
22051243,DMDW_CS-9,DOS_CS-30,CSE-04
22051245,DMDW_CS-4,DOS_CS-30,CSE-04
22051246,DMDW_CS-9,DOS_CS-31,CSE-04
22051247,CI_CS-8,HPC_CS-12,CSE-15
22051248,DMDW_CS-4,HPC_CS-7,CSE-39
22051249,DMDW_CS-5,HPC_CS-5,CSE-26
2205125,CD_CS-4,HPC_CS-14,CSE-34
22051250,CI_CS-9,DOS_CS-9,CSE-08
22051251,DMDW_CS-8,DOS_CS-8,CSE-38
22051252,CD_CS-3,HPC_CS-3,CSE-38
22051253,DMDW_CS-3,DOS_CS-4,CSE-53
22051254,DMDW_CS-9,DOS_CS-5,CSE-28
22051255,DMDW_CS-10,DOS_CS-26,CSE-15
22051256,CD_CS-1,HPC_CS-12,CSE-01
22051257,DMDW_CS-3,DOS_CS-4,CSE-53
22051258,DMDW_CS-2,HPC_CS-13,CSE-23
22051259,DMDW_CS-19,DOS_CS-5,CSE-28
2205126,DMDW_CS-4,DOS_CS-5,CSE-44
22051260,CI_CS-5,HPC_CS-2,CSE-35
22051261,DMDW_CS-6,DOS_CS-5,CSE-44
22051262,CI_CS-9,DOS_CS-22,CSE-11
22051263,CI_CS-2,HPC_CS-14,CSE-43
22051264,CI_CS-13,HPC_CS-21,
22051265,DMDW_CS-34,HPC_CS-17,CSE-52
22051266,CI_CS-9,HPC_CS-3,CSE-30
22051267,DMDW_CS-36,HPC_CS-1,CSE-39
22051268,CD_CS-2,HPC_CS-21,
22051269,CI_CS-10,DOS_CS-7,CSE-26
2205127,CI_CS-5,DOS_CS-5,CSE-12
22051270,CI_CS-1,DOS_CS-3,CSE-21
22051271,CI_CS-7,HPC_CS-3,CSE-30
22051272,DMDW_CS-34,HPC_CS-13,CSE-02
22051273,DMDW_CS-34,DOS_CS-32,CSE-52
22051274,DMDW_CS-5,DOS_CS-26,CSE-15
22051276,DMDW_CS-25,HPC_CS-17,CSE-13
22051279,DMDW_CS-33,HPC_CS-21,CSE-43
2205128,DMDW_CS-22,DOS_CS-22,CSE-27
22051280,CI_CS-12,HPC_CS-16,CSE-45
22051281,DMDW_CS-1,DOS_CS-30,CSE-01
22051282,CI_CS-9,HPC_CS-1,CSE-01
22051283,CI_CS-10,DOS_CS-7,CSE-26
22051284,DMDW_CS-12,DOS_CS-15,CSE-34
22051285,DMDW_CS-18,DOS_CS-5,CSE-18
22051286,DMDW_CS-12,DOS_CS-15,CSE-34
22051287,DMDW_CS-19,HPC_CS-2,CSE-45
22051288,CI_CS-9,HPC_CS-9,CSE-29
22051289,DMDW_CS-19,HPC_CS-2,CSE-45
2205129,CI_CS-6,DOS_CS-31,CSE-31
22051290,CD_CS-2,DOS_CS-8,CSE-16
22051291,DMDW_CS-18,DOS_CS-15,CSE-45
22051292,DMDW_CS-12,DOS_CS-26,CSE-14
22051293,DMDW_CS-35,DOS_CS-5,CSE-32
22051294,CI_CS-14,HPC_CS-19,CSE-24
22051295,DMDW_CS-11,HPC_CS-9,CSE-41
22051296,DMDW_CS-3,DOS_CS-3,CSE-02
22051297,CI_CS-13,HPC_CS-21,CSE-50
22051298,DMDW_CS-19,DOS_CS-1,CSE-33
22051299,DMDW_CS-19,HPC_CS-15,CSE-44
2205130,DMDW_CS-36,DOS_CS-9,CSE-05
22051300,CI_CS-14,DOS_CS-19,CSE-27
22051301,CI_CS-1,DOS_CS-10,CSE-52
22051302,CD_CS-1,HPC_CS-2,CSE-44
22051303,DMDW_CS-21,DOS_CS-15,CSE-38
22051304,DMDW_CS-4,DOS_CS-3,CSE-29
22051305,DMDW_CS-10,DOS_CS-14,CSE-52
22051306,CI_CS-4,HPC_CS-19,CSE-12
22051307,DMDW_CS-35,DOS_CS-26,CSE-41
22051308,DMDW_CS-17,DOS_CS-22,CSE-30
22051309,DMDW_CS-28,DOS_CS-31,CSE-37
2205131,CI_CS-10,DOS_CS-18,CSE-27
22051310,CI_CS-12,HPC_CS-1,CSE-24
22051311,CI_CS-11,HPC_CS-13,CSE-02
22051312,CD_CS-2,HPC_CS-4,CSE-26
